sensor_index,last_modified,date_created,last_seen,location_type,rssi,uptime,latency,latitude,longitude,altitude
25999,1554853637,1549304400,1708525444,0,-66,63154,238,30.053808,-95.494644,133
26259,1612887232,1549397605,1708525460,0,-59,56226,223,40.502377,-80.085,708
26339,1570550160,1549570382,1708525383,0,-80,12278,350,40.542908,-79.790794,835
26385,1668637779,1549574901,1708525452,0,-68,40413,262,40.298096,-79.88476,773
26453,1549988887,1549944579,1708525476,0,-72,936,640,40.34478,-79.85827,965
26557,1551575028,1550077139,1708525435,0,-67,62901,260,31.285906,-94.605705,285
26617,1621182046,1550089004,1708468202,1,-84,11,1030,30.361105,-98.03287,764
26659,1554579539,1550089087,1708525477,0,-90,14018,510,29.76556,-95.41395,56
26803,1662925785,1550188550,1708525431,0,-75,47445,405,29.957203,-90.02172,6
26925,1568145580,1550512246,1708525423,1,-66,40621,230,40.446053,-79.90876,987
26949,1689966069,1550593607,1708525444,0,-72,24283,283,31.932499,-81.14318,25
27009,1592866168,1550602753,1708525473,1,-81,21067,323,29.73305,-95.585686,78
27181,1585582554,1550683406,1708525402,1,-56,31996,261,40.455116,-80.01151,769
27183,1569611876,1550683441,1708525369,0,-51,31756,2155,30.287216,-97.73697,552
27395,1569612532,1550786371,1708525450,0,-58,41303,2100,30.285069,-97.73288,530
27455,1569613252,1550790150,1708525468,0,-40,42181,1982,30.285181,-97.734985,524
27463,1569611660,1550790196,1708525422,0,-51,8113,2004,30.287292,-97.73345,524
27485,1569612433,1550790427,1708525485,0,-76,3428,204,30.290632,-97.74024,604
27519,1569612938,1551288319,1708525382,0,-53,21532,2118,30.28559,-97.73693,547
27539,1569612709,1551288559,1708525476,0,-88,51385,3946,30.279041,-97.72593,572
27547,1569613021,1551288774,1708525422,0,-41,56830,2016,30.283525,-97.73466,523
27563,1569612354,1551288969,1708525477,0,-82,18170,319,30.281025,-97.7371,530
27567,1569612612,1551288999,1708525448,0,-54,14470,3676,30.28941,-97.73661,555
27569,1569611988,1551289015,1708525483,0,-83,10996,2157,30.282122,-97.72687,592
27571,1569613097,1551289084,1708525380,0,-52,1038,2031,30.286663,-97.74001,594
27573,1569612854,1551289281,1708525411,0,-54,5762,2117,30.277252,-97.73332,525
27583,1555105836,1551310763,1708525486,0,-63,21256,203,40.42523,-79.924225,1014
27589,1662925798,1551310810,1708525430,0,-82,3018,2402,30.266632,-91.21969,18
27629,1554581688,1551311303,1708525451,0,-53,38214,249,33.53833,-101.781654,3156
27673,1662925800,1551367103,1708525473,0,-70,44250,291,40.453293,-79.9225,944
27683,1553797802,1551367320,1708525416,0,-70,56664,227,40.4611,-79.93618,957
27689,1606851762,1551367344,1708525484,0,-89,44606,2104,29.805338,-90.816795,11
